jval,jobtitle
387024,COMPUTER OCCUPATIONS
110513,SOFTWARE DEVELOPERS
13092,MANAGEMENT ANALYSTS
11889,ACCOUNTANTS AND AUDITORS
9886,MECHANICAL ENGINEERS
9633,FINANCIAL ANALYSTS
9550,OPERATIONS RESEARCH ANALYSTS
7789,DATABASE ADMISTRATORS
7707,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS
6472,"ELECTRONICS ENGINEER, EXCEPT COMPUTERS"
6289,ELECTRICAL ENGINEERS
5855,PHYSICIANS AND SURGEONS
5196,STATISTICIANS
5027,WEB DEVELOPERS
4724,MEDICAL SCIENTISTS
3503,INDUSTRIAL ENGINEERS
3475,"BIOLOGICAL SCIENTISTS, ALL OTHER"
3440,CIVIL ENGINEERS
3418,"ENGINEERS, ALL OTHER"
3256,BIOCHEMISTS AND BIOPHYSICISTS
