Job,Applicants,company,apps,com,salary,
"ARCHITECTURE TEACHERS, POSTSECONDARY",131,"M. ARTHUR GENSLER JR. & ASSOCIATES, INC.",53,"BAALBAKI & ASSOCIATES ENGINEERING, PC",130582,
"ARCHITECTS, EXCEPT LANDSCAPE AND NAVAL",1329,PERKINS EASTMAN ARCHITECTS DPC,30,"BARTON MYERS ASSOCIATES, INC.",115336,
ARCHITECTURAL AND CIVIL DRAFTERS,1031,KOHN PEDERSEN FOX ASSOCIATES PC,30,PERKINS + WILL CRA LLC,109117,
,,"SKIDMORE, OWINGS & MERRILL, LLP",30,PERKINS + WILL CRA LLC,109117,
,,"AECOM TECHNICAL SERVICES, INC.",28,PERKINS + WILL CRA LLC,109117,
,,KOHN PEDERSON FOX ASSOCIATES PC,21,"STEPHEN B. JACOBS GROUP, P.C.",108888,
,,"PERKINS + WILL, INC.",21,B.I.G. ARCHITECTURE D.P.C.,108888,
,,"HDR ARCHITECTURE, INC.",19,"HOMMA, INC.",105227,
,,CALLISONRTKL INC.,19,VIEW INC,105227,
,,ROBERT A.M. STERN ARCHITECTS,16,"EVS, INC.",104936,
,,,,,,
,,,,,,
,,,,,,52449
