value,state,,,,
1057.01,California,,,10570.1,105701
876.64,Texas,,,8766.4,87664
760.61,New Jersey,,,7606.1,76061
440.97,New York,,,4409.7,44097
412.96,Illinois,,,4129.6,41296
273.2,Michigan,,,2732,27320
255.64,Pennsylvania,,,2556.4,25564
233.83,Massachusetts,,,2338.3,23383
213.94,Maryland,,,2139.4,21394
207.86,Washington,,,2078.6,20786
193.74,Virginia,,,1937.4,19374
193.73,Florida,,,1937.3,19373
186.28,North Carolina,,,1862.8,18628
168.7,Georgia,,,1687,16870
94.59,Ohio,,,945.9,9459
59.83,Connecticut,,,598.3,5983
53.09,Missouri,,,530.9,5309
47.55,Minnesota,,,475.5,4755
46.28,Tennessee,,,462.8,4628
41.66,Arizona,,,416.6,4166
40.57,Colorado,,,405.7,4057
35.64,Wisconsin,,,356.4,3564
29.05,Indiana,,,290.5,2905
24.81,Kentucky,,,248.1,2481
24.31,Delaware,,,243.1,2431
21.9,Arkansas,,,219,2190
21.16,Utah,,,211.6,2116
20.56,Iowa,,,205.6,2056
18.88,Kansas,,,188.8,1888
17.44,Nebraska,,,174.4,1744
17,Oregon,,,170,1700
15.28,South Carolina,,,152.8,1528
12.67,Louisiana,,,126.7,1267
11.82,Alabama,,,118.2,1182
10.54,Rhode Island,,,105.4,1054
10.34,New Hampshire,,,103.4,1034
9.81,Oklahoma,,,98.1,981
9.75,Nevada,,,97.5,975
6.34,New Mexico,,,63.4,634
6.16,Idaho,,,61.6,616
5.15,Mississippi,,,51.5,515
4.66,Maine,,,46.6,466
4.25,Vermont,,,42.5,425
3.87,West Virginia,,,38.7,387
3.54,Hawaii,,,35.4,354
3.16,North Dakota,,,31.6,316
2.27,South Dakota,,,22.7,227
1.23,Montana,,,12.3,123
1.07,Wyoming,,,10.7,107
0.82,Alaska,,,8.2,82
