value,state,wstate,wstateval,ecity,ecityval,wcity,wcityval,,JOB TITLE VAL,JOB TITLE,,,,JOB TITLE VAL,JOB TITLE,,,W-CITY,W-CITY VAL,,,E-CITY,E-CITY VAL
105701,CA,MI,20222,PLANO,34320,NEW YORK,37722,,124507,"SOFTWARE DEVELOPERS, APPLICATIONS",,,,387024,COMPUTER OCCUPATIONS,,,NEW YORK,37722,,,PLANO,34320
87664,TX,NY,54974,NEW YORK,31022,SAN FRANCISCO,16145,,93611,COMPUTER SYSTEMS ANALYSTS,,,,110513,SOFTWARE DEVELOPERS,,,SAN FRANCISCO,16145,,,NEW YORK,31022
76061,NJ,IL,32082,CHICAGO,25581,HOUSTON,13416,,66603,COMPUTER PROGRAMMERS,,,,13092,MANAGEMENT ANALYSTS,,,HOUSTON,13416,,,CHICAGO,25581
44097,NY,NJ,42571,ROCKVILLE,14499,CHICAGO,11757,,53468,"COMPUTER OCCUPATIONS, ALL OTHER*",,,,11889,ACCOUNTANTS AND AUDITORS,,,CHICAGO,11757,,,ROCKVILLE,14499
41296,IL,MA,25016,EDISON,12670,ATLANTA,11115,,53440,"COMPUTER OCCUPATIONS, ALL OTHER",,,,9886,MECHANICAL ENGINEERS,,,ATLANTA,11115,,,EDISON,12670
27320,MI,TX,66163,PHILADELPHIA,12057,SAN JOSE,10916,,18401,"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",,,,9633,FINANCIAL ANALYSTS,,,SAN JOSE,10916,,,PHILADELPHIA,12057
25564,PA,OH,15466,DURHAM,11638,IRVING,8818,,16902,COMPUTER SYSTEMS ANALYST,,,,9550,OPERATIONS RESEARCH ANALYSTS,,,IRVING,8818,,,DURHAM,11638
23383,MA,VA,17856,SAN FRANCISCO,11199,SEATTLE,8630,,13092,MANAGEMENT ANALYSTS,,,,7789,DATABASE ADMISTRATORS,,,SEATTLE,8630,,,SAN FRANCISCO,11199
21394,MD,FL,21815,TROY,10938,SUNNYVALE,8282,,11889,ACCOUNTANTS AND AUDITORS,,,,7707,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,,,SUNNYVALE,8282,,,TROY,10938
20786,WA,MD,10672,IRVING,10445,DALLAS,8056,,10838,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS*,,,,6472,"ELECTRONICS ENGINEER, EXCEPT COMPUTERS",,,DALLAS,8056,,,IRVING,10445
19374,VA,NC,17134,HOUSTON,9795,MOUNTAIN VIEW,7531,,10817,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,,,,6289,ELECTRICAL ENGINEERS,,,MOUNTAIN VIEW,7531,,,HOUSTON,9795
19373,FL,CA,119409,SAN JOSE,9072,AUSTIN,6955,,9886,MECHANICAL ENGINEERS,,,,5855,PHYSICIANS AND SURGEONS,,,AUSTIN,6955,,,SAN JOSE,9072
18628,NC,DC,4203,SANTA CLARA,8696,REDMOND,6781,,9633,FINANCIAL ANALYSTS,,,,5196,STATISTICIANS,,,REDMOND,6781,,,SANTA CLARA,8696
16870,GA,PA,21600,MOUNTAIN VIEW,8553,BOSTON,6722,,9550,OPERATIONS RESEARCH ANALYSTS,,,,5027,WEB DEVELOPERS,,,BOSTON,6722,,,MOUNTAIN VIEW,8553
9459,OH,OK,1740,SUNNYVALE,8497,CHARLOTTE,6704,,7789,DATABASE ADMINISTRATORS,,,,4724,MEDICAL SCIENTISTS,,,CHARLOTTE,6704,,,SUNNYVALE,8497
5983,CT,AZ,9453,DALLAS,8377,SANTA CLARA,5933,,7707,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,,,,3503,INDUSTRIAL ENGINEERS,,,SANTA CLARA,5933,,,DALLAS,8377
5309,MO,CO,6576,SEATTLE,7983,PLANO,5720,,6842,COMPUTER AND INFORMATION SYSTEMS MANAGERS,,,,3475,"BIOLOGICAL SCIENTISTS, ALL OTHER",,,PLANO,5720,,,SEATTLE,7983
4755,MN,TN,6860,BOSTON,6616,BELLEVUE,5677,,6472,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER",,,,3440,CIVIL ENGINEERS,,,BELLEVUE,5677,,,BOSTON,6616
4628,TN,NM,861,SECAUCUS,6524,LOS ANGELES,5508,,6289,ELECTRICAL ENGINEERS,,,,3418,"ENGINEERS, ALL OTHER",,,LOS ANGELES,5508,,,SECAUCUS,6524
4166,AZ,GA,22521,EAST BRUNSWICK,6267,COLUMBUS,5353,,5855,"PHYSICIANS AND SURGEONS, ALL OTHER",,,,3256,BIOCHEMISTS AND BIOPHYSICISTS,,,COLUMBUS,5353,,,EAST BRUNSWICK,6267
4057,CO,MN,10390,PISCATAWAY,6119,JERSEY CITY,5171,,5196,STATISTICIANS,,,,,,,,,,,,,
3564,WI,NE,2083,REDMOND,6096,PHOENIX,5089,,5027,WEB DEVELOPERS,,,,,,,,,,,,,
2905,IN,MO,8136,TAMPA,6080,ALPHARETTA,4902,,4724,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",,,,,,,,,,,,,
2481,KY,WI,6509,ATLANTA,5268,PHILADELPHIA,4794,,3503,INDUSTRIAL ENGINEERS,,,,,,,,,,,,,
2431,DE,OR,4725,PRINCETON,4696,PALO ALTO,4560,,3475,"BIOLOGICAL SCIENTISTS, ALL OTHER",,,,,,,,,,,,,
2190,AR,WA,25476,ISELIN,4597,SAN DIEGO,4240,,3440,CIVIL ENGINEERS,,,,,,,,,,,,,
2116,UT,KY,2626,PALO ALTO,4523,RICHARDSON,4038,,3418,"ENGINEERS, ALL OTHER",,,,,,,,,,,,,
2089,DC,DE,3360,ALPHARETTA,4379,TAMPA,3823,,3256,BIOCHEMISTS AND BIOPHYSICISTS,,,,,,,,,,,,,
2056,IA,NV,1473,FREMONT,4318,WASHINGTON,3738,,2930,PHYSICAL THERAPISTS,,,,,,,,,,,,,
1888,KS,UT,3100,BELLEVUE,4295,FREMONT,3329,,2863,MARKETING MANAGERS,,,,,,,,,,,,,
1744,NE,IA,3095,JERSEY CITY,3958,PITTSBURGH,3229,,2783,SOFTWARE QUALITY ASSURANCE ENGINEERS AND TESTERS,,,,,,,,,,,,,
