MARSHALL UNIVERSITY,SURGEONS,414007,,
MARSHALL UNIVERSITY,SURGEONS,414007,,
MARSHALL UNIVERSITY,SURGEONS,414007,,
MARSHALL UNIVERSITY,SURGEONS,414007,,77198.16825
"NORTH AMERICAN PARTNERS IN ANESTHESIA (VIRGINIA), LLC",ANESTHESIOLOGISTS,352300,,
"NORTH AMERICAN PARTNERS IN ANESTHESIA (VIRGINIA), LLC",ANESTHESIOLOGISTS,352300,,
"PHYSICIANS GROUP OF NEW ULM, LTD.","PHYSICIANS AND SURGEONS, ALL OTHER",350796,,
PUBLIC HEALTH TRUST,"PHYSICIANS AND SURGEONS, ALL OTHER",350000,,
"PICO PHARMACEUTICALS, INC",CHIEF EXECUTIVES,350000,,
ALLINA HEALTH SYSTEM,"PHYSICIANS AND SURGEONS, ALL OTHER",349410,,
DECATUR MEMORIAL HOSPITAL,"PHYSICIANS AND SURGEONS, ALL OTHER",349410,,
DECATUR MEMORIAL HOSPITAL,"PHYSICIANS AND SURGEONS, ALL OTHER",349410,,
DECATUR MEMORIAL HOSPITAL,"PHYSICIANS AND SURGEONS, ALL OTHER",349410,,
DECATUR MEMORIAL HOSPITAL,"PHYSICIANS AND SURGEONS, ALL OTHER",349410,,
"NORTHSTAR ANESTHESIA OF MICHIGAN, PLLC",ANESTHESIOLOGISTS,340400,,
"NORTHSTAR ANESTHESIA OF MICHIGAN, PLLC",ANESTHESIOLOGISTS,340400,,
"NORTHSTAR ANESTHESIA OF MICHIGAN, PLLC",ANESTHESIOLOGISTS,340400,,
"NORTHSTAR ANESTHESIA OF MICHIGAN, PLLC",ANESTHESIOLOGISTS,340400,,
DECATUR MEMORIAL HOSPITAL,"PHYSICIANS AND SURGEONS, ALL OTHER",338279,,
